id,type,governance,maturity,delivery,scope,kind,statement
MAN-function---package,Manifestation,approved,logic-defined,implemented,devops,config,Package script exposing the RS-R6 seed command.
MAN-function-docs-plans-active-requirements-system-output-rs-r6-build-notes,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,RS-R6 build notes and close-out evidence.
MAN-function-docs-plans-active-requirements-system-output-rs-r7-persist-pass,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,"RS-R7 persist-pass output documenting durable MAN nodes, review links, and remaining PO gate."
MAN-function-docs-plans-active-requirements-system-output-rs-r7-reconciliation-report,Manifestation,approved,logic-defined,implemented,agent-workflow,function,"RS-R7 reconciliation report amended with audit verdict, corrected queue counts, and remaining acceptance gap."
MAN-function-docs-plans-active-requirements-system-output-rs-rollout-calibration-mode,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,"Rollout calibration-mode output documenting requirements-system operating rules, blockers, non-blocking mapping debt, and investigation triggers."
MAN-function-docs-plans-active-requirements-system-readme,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,Requirements-system README carry-forward for RS-R6.
MAN-function-docs-plans-active-requirements-system-sprints-rs-r6-migrate-seed-datamodel,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,RS-R6 sprint status and acceptance checklist.
MAN-function-docs-product-requirements-graph-generated-graph-summary,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,Generated graph summary updated after adding rollout calibration-mode requirements.
MAN-function-docs-product-requirements-graph-generated-query-index,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,Generated query index updated after adding rollout calibration-mode requirements.
MAN-function-docs-product-requirements-graph-ledger-decision-ledger,Manifestation,approved,logic-defined,implemented,data,documentation-view,Decision ledger record preserving the PO calibration-mode ruling.
MAN-function-docs-product-requirements-graph-nodes-manifestation-function-man-function-docs-plans-active-requirements-system-output-rs-rollout-calibration-mode,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph manifestation record for the rollout calibration-mode output artifact.
MAN-function-docs-product-requirements-graph-nodes-requirement-req-gov-cal-001,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph requirement record for rollout calibration-mode governance.
MAN-function-docs-product-requirements-graph-nodes-requirement-req-gov-inv-001,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph requirement record for agent investigation triggers during calibration mode.
MAN-function-docs-product-requirements-graph-nodes-requirement-req-gov-src-001,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph requirement record for the source-code mutation authorization boundary.
MAN-function-docs-product-requirements-graph-trace-links-trc-req-gov-cal-001-to-man-function-docs-plans-active-requirements-system-output-rs-rollout-calibration-mode,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph trace-link record connecting rollout calibration-mode governance to its output artifact.
MAN-function-docs-product-requirements-graph-trace-links-trc-req-gov-inv-001-to-man-function-docs-plans-active-requirements-system-output-rs-rollout-calibration-mode,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph trace-link record connecting investigation-trigger governance to its output artifact.
MAN-function-docs-product-requirements-graph-trace-links-trc-req-gov-src-001-to-man-function-docs-plans-active-requirements-system-output-rs-rollout-calibration-mode,Manifestation,approved,logic-defined,implemented,data,documentation-view,Graph trace-link record connecting source-code mutation governance to its output artifact.
MAN-function-docs-product-requirements-graph-views-requirements-summary,Manifestation,approved,logic-defined,implemented,agent-workflow,documentation-view,Generated requirements summary view updated after adding rollout calibration-mode requirements.
MAN-function-scripts-backend-assert-capture-off-in-prod,Manifestation,approved,logic-defined,implemented,devops,function,Production guard (BE3-R5a): fails any production build that enables VITE_BE3_CAPTURE (enforces D-BE3-CAPTURE-OFF).
MAN-function-scripts-backend-capture-contract-snapshot,Manifestation,approved,logic-defined,implemented,devops,function,Contract-drift snapshot (BE3-R5a): re-emits the contract from code and diffs the committed contract to detect drift (exit 1 on drift).
MAN-function-scripts-backend-check-contract-types,Manifestation,approved,logic-defined,implemented,test-qa,function,Round-trip contract type check (BE3-R1): asserts the frozen contract matches the live Api* types via tsc (exit 0 = contract ≡ types).
MAN-function-scripts-backend-extract-routes,Manifestation,approved,logic-defined,implemented,devops,function,Deterministic contract route extractor (BE3-R1/R5a): emits the authoritative 22-route list from mock-dispatch — the single source every backend-contract gate reuses.
MAN-function-scripts-backend-seed-dev,Manifestation,proposed,logic-defined,not-assessed,backend,script,PAC-R4 idempotent dev-data seed script -- catalog + one workspace/dcx/version/builder-tree/file/activity fixture for dcx-manager-dev.
MAN-function-scripts-backend-summarize-capture,Manifestation,approved,logic-defined,implemented,devops,function,Capture summarizer (BE3-R5a): rolls raw captured payloads into per-route field-population/null-rate/timing summaries with a scrub gate; emits no raw values.
MAN-function-scripts-backend-sync-allowed-members,Manifestation,proposed,logic-defined,not-assessed,backend,function,"Manual re-sync script pulling ClickUp workspace members into allowed_members (PAC addendum, production-api-client-switch)."
MAN-function-scripts-requirements-completion-gate,Manifestation,proposed,logic-defined,not-assessed,governance,function,Completion gate hook: runs validation + reconciliation + verification checks before a sprint can be marked done.
MAN-function-scripts-requirements-folder-index,Manifestation,proposed,logic-defined,not-assessed,devops,function,Folder index generator: produces index.csv and README.md in every node subfolder for human navigation.
MAN-function-scripts-requirements-normalize-rs-r7-identities,Manifestation,approved,logic-defined,implemented,data,function,RS-R7 identity-normalization script that canonicalizes duplicate code-discovered manifestation identities before PO mapping confirmation.
MAN-function-scripts-requirements-persist-rs-r7-review-queue,Manifestation,approved,logic-defined,implemented,data,function,RS-R7 persist script that writes code-discovered MAN nodes and durable candidate review links.
MAN-function-scripts-requirements-queues,Manifestation,proposed,logic-defined,not-assessed,governance,function,"Reconciliation and governance queues: surfaces requirements needing classification, decomposition, manifestations, verification, or other attention."
MAN-function-scripts-requirements-reconciliation-engine,Manifestation,proposed,logic-defined,not-assessed,data,function,"Reconciliation engine: inventories code manifestations, proposes confidence-scored candidate trace links, detects orphan/partial/stale links."
MAN-function-scripts-requirements-seed-rs-r6,Manifestation,approved,logic-defined,implemented,data,function,RS-R6 deterministic seed script for canonical requirements graph data.
MAN-function-scripts-requirements-store,Manifestation,proposed,logic-defined,not-assessed,data,function,"Graph store module: loads, writes, and organizes graph nodes (typed subfolders), trace links, and the append-only JSONL ledger."
MAN-function-src-actions-action-actions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: action.actions (src/actions/action.actions.ts).
MAN-function-src-actions-action-guards,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: action.guards (src/actions/action.guards.ts).
MAN-function-src-actions-action-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: action.helpers (src/actions/action.helpers.ts).
MAN-function-src-actions-builder-actions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: builder.actions (src/actions/builder.actions.ts).
MAN-function-src-actions-node-actions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: node.actions (src/actions/node.actions.ts).
MAN-function-src-actions-phase-actions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: phase.actions (src/actions/phase.actions.ts).
MAN-function-src-actions-task-create,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: task.create (src/actions/task.create.ts).
MAN-function-src-actions-task-delete,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: task.delete (src/actions/task.delete.ts).
MAN-function-src-actions-task-update,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: task.update (src/actions/task.update.ts).
MAN-function-src-actions-version-actions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: version.actions (src/actions/version.actions.ts).
MAN-function-src-brand-styles-components,Manifestation,proposed,logic-defined,implemented,frontend,function,"Code manifestation: brand component-level CSS (src/brand/styles/components.css). Styles app-shell, app-nav, and the placeholder-screen (eyebrow, headings, paragraphs) using theme color and font-size tokens."
MAN-function-src-brand-styles-tokens,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation: brand theme color + typography CSS custom-property tokens (src/brand/styles/tokens.css). Defines --theme-* color/surface/text tokens and --text-* font-size tokens for light (:root) and dark (.dark) themes.
MAN-function-src-brand-theme,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: theme (src/brand/theme.ts).
MAN-function-src-brand-tokens,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: tokens (src/brand/tokens.ts).
