id,type,governance,maturity,delivery,scope,kind,statement
REQ-AIC-001,Requirement,proposed,logic-defined,not-assessed,product,,"AI Chat Builder surface (seed) — AI Chat is seeded as a future Builder capability, not a full AI runtime in MVP. It gives users a branded, in-canvas assistant entry point that will later help generate and structure DCX content. — AI entry point lives in the Kanban Builder Island. Clicking opens a branded sticky popup (resizable, minimizable, sticky on canvas) using the shared popup shell. Future capabilities: read proposal, extract phases/actions/tasks, break tasks into subtasks, assign channels, complete structure from objectives/templates/strategy metadata. AI output must never directly mutate Builder data; it must go through review/preview/apply + normal validation."
REQ-AIM-001,Requirement,proposed,logic-defined,not-assessed,data,,"Flexible AI/context metadata fields (seed) — The data model should seed future AI support by allowing hidden/flexible context fields on key entities, without polluting core structured fields. — Allow optional context fields (e.g. strategy_context, generation_context, ai_context, metadata, source_context) on DCX, Version, Phase, Action, Task, Subtask. These are additive, never replace core fields, and are for future AI context, generation source, proposal/strategy links, reasoning, and template/objective mapping."
REQ-BC-001,Requirement,approved,logic-defined,not-assessed,frontend,,"Default creation view — Kanban is the default Builder creation view. — StageManager, KanbanStage, BuilderKanbanView, view initialization."
REQ-BC-002,Requirement,approved,logic-defined,not-assessed,frontend,,"Last opened view behavior — If the user previously opened the same version, restore the last opened — Local preference store, builder initialization, view switcher."
REQ-BC-003,Requirement,approved,logic-defined,not-assessed,frontend,,"Kanban creation scope — User can create phases, actions, and tasks in Kanban. — BuilderKanbanView, HorizontalBoard, KanbanColumn, phase/action/task cards, builderMutations."
REQ-BC-004,Requirement,approved,logic-defined,not-assessed,frontend,,"Phase creation — User can create phases directly in Kanban. — Phase card, add phase action, useBuilderNodes, cmdCreatePhaselater."
REQ-BC-005,Requirement,approved,logic-defined,not-assessed,frontend,,"Action creation — User can create actions inside a phase in Kanban. — KanbanColumn, action container/card, cmdCreateAction."
REQ-BC-006,Requirement,approved,logic-defined,not-assessed,frontend,,"Task creation — User can create tasks inside an action in Kanban. — Task card, action container, TaskEditor, cmdCreateTask, task factory."
REQ-BC-007,Requirement,approved,logic-defined,not-assessed,frontend,,"Timeline creation scope — Timeline allows task creation only, not phase/action creation as a main workflow. — TimelineStage, BuilderTimelineView, DayGridCard, task creation handlers."
REQ-BC-008,Requirement,approved,logic-defined,not-assessed,frontend,,"Timeline day task creation — User can create a task from inside a day in Timeline. The — DayGridCard, date helpers, task factory, timeline task creation"
REQ-BC-009,Requirement,approved,logic-defined,not-assessed,frontend,,"Timeline task parent selection — A timeline-created task must be nested under an existing phase/action or create — Timeline quick-create UI, parent selector, quick phase/action creation,"
REQ-BC-010,Requirement,approved,logic-defined,not-assessed,frontend,,"Minimal timeline task data — Timeline quick-create can add minimal task data first, then user completes details — Task factory, minimal task defaults, TaskEditor, validation badges."
REQ-BC-011,Requirement,approved,logic-defined,not-assessed,frontend,,"Full task configuration location — Full task configuration happens in the Editor Island / TaskEditor. — TaskEditor, Editor Island, task card edit actions, validation."
REQ-BC-012,Requirement,approved,logic-defined,not-assessed,frontend,,"Creator Island role — Creator/Builder Island supports guided creation, shortcuts, and future workflow helpers, but Kanban — CreatorIsland, ViewHelperIsland, useDeliverableWizard, island config."
REQ-BC-013,Requirement,approved,logic-defined,not-assessed,frontend,,"View-specific creation tools — Creation tools should respect the current view’s capabilities. — Island config, view capability matrix, StageManager."
REQ-BC-014,Requirement,approved,logic-defined,not-assessed,frontend,,"Import location — Import should exist for offline updates/recovery but live quietly inside Project Metadata — Project Metadata Island, import modal, backup import utility."
REQ-BC-015,Requirement,approved,logic-defined,not-assessed,frontend,,"Import purpose — Import supports offline updates, JSON backup recovery, and controlled structure restoration. — JSON import parser, validation, reconciliation preview, local backup"
REQ-BC-016,Requirement,approved,logic-defined,not-assessed,frontend,,"Import mode — Import should support selective reconciliation rather than blind full replacement. — Import reconciliation engine, preview UI, mapper layer, validation"
REQ-BC-017,Requirement,approved,logic-defined,not-assessed,frontend,,"Stable IDs for import — Supabase-backed entities must have stable IDs from phase to subtask. — Supabase schema, API DTOs, JSON backup schema, import"
REQ-BC-018,Requirement,approved,logic-defined,not-assessed,frontend,,"Matching ID behavior — If an imported entity ID matches an existing entity ID, update/overwrite it — Import reconciler, update mapper, preview summary."
REQ-BC-019,Requirement,approved,logic-defined,not-assessed,frontend,,"New ID behavior — If imported data contains new IDs, confirm that new items will be — Import preview modal, add operation mapping."
REQ-BC-020,Requirement,approved,logic-defined,not-assessed,frontend,,"Missing ID behavior — If existing IDs are missing from the imported file, alert the user — Import diff engine, delete operation mapping, confirmation modal."
REQ-BC-021,Requirement,approved,logic-defined,not-assessed,frontend,,"Import preview groups — Import preview should group changes into updated, added, and deleted/missing items. — Import preview UI, diff summary, readable payload formatter."
REQ-BC-022,Requirement,approved,logic-defined,not-assessed,frontend,,"Validation after import — Imported structure must be validated before applying or before allowing Ready. — Import validator, schema validation, readiness validation, error reporting."
REQ-BC-023,Requirement,approved,logic-defined,not-assessed,frontend,,"Template system readiness — Import/reuse logic should be modular because later users will save/import phase, action, — Import/export engine, future template DTOs, Kanban Builder Island."
REQ-BC-024,Requirement,approved,logic-defined,not-assessed,frontend,,"Template DB scope — Template database for phase/action/task components is not MVP, but should be anticipated. — Future Supabase tables, template service, import engine compatibility."
REQ-BC-025,Requirement,proposed,logic-defined,not-assessed,frontend,,"Save as template entry — Future “save as template” action should likely live in Kanban Builder Island — Kanban Builder Island, phase/action/task menus, template service later."
REQ-BC-026,Requirement,approved,logic-defined,not-assessed,frontend,,"Files support creation — Approved files/docs support the ICS while building but do not define the — File Manager Island, Project Metadata/File Island, local file"
REQ-BC-027,Requirement,approved,logic-defined,not-assessed,frontend,,"Active file state — Active/opened files are local user workflow state, not shared backend version state. — Local UI state, File Manager Island, no backend"
REQ-BC-028,Requirement,approved,logic-defined,not-assessed,frontend,,"Task cannot be orphaned — All creation/import flows must preserve the rule that tasks belong to actions. — Creation functions, import reconciler, validation, API schema."
REQ-BC-029,Requirement,approved,logic-defined,not-assessed,frontend,,"Empty planning containers — Phases/actions can be created empty during planning but must be completed before — Phase/action creation, validation, status transition."
REQ-BC-030,Requirement,approved,logic-defined,not-assessed,frontend,,"Creation operations should map to named commands — Creation actions should eventually route through named commands like create phase/action/task rather — Future builderMutations.ts, useBuilderNodes, builderStore."
REQ-BC-031,Requirement,approved,logic-defined,not-assessed,frontend,,"Creation behavior events — Creation actions should be trackable later as meaningful behavior events, not as — Event adapter, analytics event names, no required MVP"
REQ-CAL-MONTH-001,Requirement,approved,logic-defined,partially-implemented,frontend,,"Monthly calendar view layout & interaction — In the Builder's monthly Timeline view: (a) NO vertical scroll — all month day cards fit in one compact 7-column grid on screen (refer to v0.1.4 docs/archive/dcx-manager-v0.1.4/src/pages/builder/timeline/MonthlyView.tsx for the clean monthly grid); (b) day cards are compact (more compact than weekly); (c) the task-card EXPANDED state is DISABLED in monthly — tasks render only as small compact cards; (d) editing a task is via long-click on the small task card, which opens the Task Editor; (e) opening the editor must NOT push the day cards off-screen — the day grid shrinks further so the whole month stays visible while the editor is open. Current MonthlyView uses overflow-y-auto (vertical scroll) — this requirement supersedes that."
REQ-CAL-WEEK-001,Requirement,approved,logic-defined,not-assessed,frontend,,"Weekly calendar view layout — In the Builder's weekly Timeline view, the stage fits exactly 5 expanded weekday cards (Mon–Fri) + 2 collapsed weekend day cards (Sat, Sun) within the visible stage, with NO horizontal scroll across the desktop viewport range (per REQ-RESP-001, 14in→85in). Weekdays render expanded; weekend days render collapsed/compact. Day cards follow the unified ~80%-height/10%-margin model (CC-2). Replaces phase columns in this view per REQ-STG-001."
REQ-CR-001,Requirement,approved,logic-defined,not-assessed,operations,,"Activity log storage — Activity logs are stored in Supabase as structured records. — Supabase activity_logstable, lifecycle services, version transition handlers."
REQ-CR-002,Requirement,approved,logic-defined,not-assessed,operations,,"MVP log scope — MVP activity logs cover lifecycle events only. — Version lifecycle service, status transition commands."
REQ-CR-003,Requirement,approved,logic-defined,not-assessed,operations,,"Logged lifecycle events — Log version created, moved to In Progress, Ready for Approval, Approved, Superseded, — Lifecycle mutation handlers, import/duplicate service."
REQ-CR-004,Requirement,approved,logic-defined,not-assessed,operations,,"Log visibility in MVP — Latest logs are shown from DB but manually synced/loaded, not real-time. — Project Metadata Island / Version History area, manual"
REQ-CR-005,Requirement,approved,logic-defined,not-assessed,operations,,"Meaningful change logs — Seed architecture for meaningful structure-change logs later. — Event/log adapter, mutation command names, optional future change_logs."
REQ-CR-006,Requirement,approved,logic-defined,not-assessed,operations,,"Error report channel — Error reports can be sent through lightweight email/free integration. — Error reporter service, email/webhook integration, failed action capture."
REQ-CR-007,Requirement,approved,logic-defined,not-assessed,operations,,"Error report payload — Error reports include readable failed payload/context when relevant. — Payload formatter, error boundary/report modal, API error handler."
REQ-CR-008,Requirement,approved,logic-defined,not-assessed,operations,,"User-triggered reporting — User should have a report/retry path when critical save/load/import fails. — Error UI, retry action, report action."
REQ-CR-009,Requirement,approved,logic-defined,not-assessed,operations,,"Separation from audit logs — UX behavior tracking is separate from business activity logs. — Lightweight event layer, future analytics adapter."
REQ-CR-010,Requirement,approved,logic-defined,not-assessed,operations,,"Avoid noisy writes — Do not write logs for every UI interaction or autosave. — Event filtering, lifecycle-only DB writes."
REQ-DENSITY-001,Requirement,approved,logic-defined,implemented,frontend,,"Builder card density model — across the desktop viewport range (REQ-RESP-001), the Builder must comfortably fit, without premature overflow/scroll: (a) ~3 expanded phase columns in the stage (per core.md §21 1440 density); (b) ~3 collapsed action cards within an expanded phase card's action area; (c) ~3–4 collapsed task tiles within an action card's task row. Overflow beyond these targets is SIGNALED (OA-1 gradient fades) but the default density must be MET by compact card spacing — without breaking consistent spacing / visual rhythm across Phase/Action/Task card types. Known gap (PO-observed 2026-06-30): 3 collapsed action cards do NOT currently fit comfortably in a phase → drives a compact action-card design (sprint CC-7)."
REQ-DM-001,Requirement,approved,logic-defined,not-assessed,data,,"Official DCX structure — Official saved structure is Version → Phase → Action → Task. — types/domain.ts, types.ts, api.ts, BuilderNode, node.helpers.ts, api-mappers.ts."
REQ-DM-002,Requirement,approved,logic-defined,not-assessed,data,,"Subtask role — Subtasks are saved inside tasks but are task details/configuration, not a major — Task type, TaskEditor, task factory, validation, task card"
REQ-DM-003,Requirement,approved,logic-defined,not-assessed,data,,"Task parent rule — A task cannot exist without an action. — Task creation flows, CreatorIsland, builderMutations, validation, API payload."
REQ-DM-004,Requirement,approved,logic-defined,not-assessed,data,,"Empty phases/actions while planning — Empty phases/actions may exist while planning, but they cannot pass “Ready” validation. — Validation layer, status transition logic, phase/action cards, Ready"
REQ-DM-005,Requirement,approved,logic-defined,not-assessed,data,,"Day role — Day is not a primary saved entity. It is calculated from task — Timeline helpers, WeeklyView, MonthlyView, DayGridCard, date helpers."
REQ-DM-006,Requirement,approved,logic-defined,not-assessed,data,,"Version communication date — Version has a communication date, but it can also be To Be — Version creation form, version type, builder loader, date"
REQ-DM-007,Requirement,approved,logic-defined,not-assessed,data,,"Communication date as anchor — The version communication date acts as the anchor for linked task dates. — Task date model, date helpers, timeline rendering, save"
REQ-DM-008,Requirement,approved,logic-defined,not-assessed,data,,"TBD communication date behavior — If communication date is TBD, linked task dates stay as relative offsets — TaskDate, date resolver, validation, display state."
