id,type,governance,maturity,delivery,scope,kind,statement
MAN-hook-src-actions-usebuilderactions,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useBuilderActions (src/actions/useBuilderActions.ts).
MAN-hook-src-builder-cards-templates-action-useactioncard,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useActionCard (src/builder/cards/templates/action/useActionCard.ts).
MAN-hook-src-builder-cards-templates-phase-usephasecard,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: usePhaseCard (src/builder/cards/templates/phase/usePhaseCard.ts).
MAN-hook-src-builder-cards-usecardbehavior,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useCardBehavior (src/builder/cards/useCardBehavior.ts).
MAN-hook-src-builder-cards-usecarddrag,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useCardDrag (src/builder/cards/useCardDrag.ts).
MAN-hook-src-builder-cards-usecardeffects,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useCardEffects (src/builder/cards/useCardEffects.ts).
MAN-hook-src-builder-dropzones-usedropzones,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useDropzones (src/builder/dropzones/useDropzones.ts).
MAN-hook-src-builder-import-useimport,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useImport (src/builder/import/useImport.ts).
MAN-hook-src-builder-islands-editorviewerisland-usedayeditortasks,Manifestation,proposed,logic-defined,not-assessed,frontend,hook,Code manifestation discovered by RS-R7 inventory: useDayEditorTasks (src/builder/islands/EditorViewerIsland/useDayEditorTasks.ts).
MAN-hook-src-builder-islands-editorviewerisland-usedraftreducer,Manifestation,proposed,logic-defined,implemented,frontend,hook,"Draft state reducer and types for the editor: DraftState, DraftAction, draftReducer (src/builder/islands/EditorViewerIsland/useDraftReducer.ts). Extracted from useEditorState.ts during CC-1 file-size split."
