version,change_class,commit_sha,branch,session_folder,clickup_task,deployment_id,preview_url,staging_url,production_url,status,approved_for,approved_by,approved_at,gates,notes
"v0.3.5.1","non-source","2ec9c440c7a3ec5186e1d295b1cffd6e30f7ddde","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.2","non-source","ea9b460159ed68c8a67ea7f43a239f2d1a8a355e","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.3","non-source","d2e34ceac3bcf847cf765b0479da465f41f2ab6a","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.4","non-source","5eaf1e8577581a4e87c5457d3d922183f1b63104","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.5","non-source","0f99a4d584b413c86bc5565e26ead8b5cc21922b","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.6","non-source","01a20f7fa51aa0e42fd4079f9b2bc5d0d2f062b1","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.7","non-source","4ccf2c24c3186d0930500a677d99c35409d2b24c","integration","ci","","","https://dcx-manager-qko06wfpu-dot-techs-projects.vercel.app","","","verified","","","","","stamped by version-assign.yml"
"v0.3.5.8","non-source","ffc74c07ed1cc381d1581d0f88f27cd583bb7db7","integration","ci","","","https://dcx-manager-aet2wf6xv-dot-techs-projects.vercel.app","","","verified","","","","","stamped by version-assign.yml"
"v0.4.0.0","promotion","4ccf2c24c3186d0930500a677d99c35409d2b24c","integration","promote.sh","","","https://dcx-manager-qko06wfpu-dot-techs-projects.vercel.app","","","promoted-staging","staging","PO (Mahmoud, tech@dotment.com)","2026-07-01","","promoted from v0.3.5.7 via promote.sh, exact deployment, no rebuild"
"v0.4.0.1","non-source","836d603eb9f603ac2c4410ac1c28f80a7c84b46d","integration","ci","","","https://dcx-manager-gp1d48u04-dot-techs-projects.vercel.app","","","verified","","","","","stamped by version-assign.yml"
"v0.4.0.2","non-source","8af92ba673c6f8a3947a7fde1f244bbff98804fd","integration","ci","","","https://dcx-manager-7hmn1w6o7-dot-techs-projects.vercel.app","","","verified","","","","","stamped by version-assign.yml"
"v0.4.0.3","non-source","bc18e4be07c65bf6a8c6ede925cfcd87d31bd7fe","integration","ci","","","","","","verified","","","","","stamped by version-assign.yml"
