ID,Category,Subcategory,Requirement,Business Description,Functional Detail,Priority,Status,Dependencies,Related Requirements,Affected Modules,UX Impact,Risk,Source,Notes
CR-001,"Audit, Logs & Error Reporting",Activity Log Storage,Activity log storage,Activity logs are stored in Supabase as structured records.,"Supabase activity_logstable, lifecycle services, version transition handlers.",MVP,Confirmed,Supabase backend,Integration Contracts,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Admin/team can review important version history later.,Low-medium,Decision Register,Logs exist in DB even if UI is minimal.
VR-010,"Audit, Logs & Error Reporting",Alert Triggering,User-triggered and critical automatic alerts,"Support both user-triggered reporting and automatic alerts for critical failures, while keeping",Alert routing service; error boundary; save/load error handlers;,MVP + Seed Now,Confirmed,ERROR-001; ERROR-002; ERROR-003,"Routing, Auth & Load Control",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Critical failures can reach admins even if the,Medium,Decision Register,Register only strategic triggering rules; retry count and animation remain implementation notes.
RV-019,"Audit, Logs & Error Reporting",Audit Copy Exclusion,Do not copy audit/history,"Duplication/import should not copy activity logs, approval history, Ready timestamp, or save","Activity log service, duplication payload, version metadata.",MVP,Confirmed,Activity Logs category,Builder State & Mutation Layer,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,User gets a clean new editable version.,Low-medium,Decision Register,Old version can remain linked as source if needed later.
VR-009,"Audit, Logs & Error Reporting",Error Payload Capture,Readable full failed payload in reports,"Error reports should include the full failed payload when available, formatted in",Error reporting payload schema; mutation/service layer; failed request,MVP,Confirmed,ERROR-001; ERROR-002,"Persistence, Autosave & Recovery",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Support/admin can understand the failed action and manually,Medium,Decision Register,User stated no sensitive data concern for this payload.
CR-007,"Audit, Logs & Error Reporting",Error Payload Capture,Error report payload,Error reports include readable failed payload/context when relevant.,"Payload formatter, error boundary/report modal, API error handler.",MVP,Confirmed,Save/import/error flows,"Persistence, Autosave & Recovery",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Faster issue diagnosis.,Medium,Decision Register,"Must be readable and categorized, not raw unreadable dump only."
CR-006,"Audit, Logs & Error Reporting",Error Report Channel,Error report channel,Error reports can be sent through lightweight email/free integration.,"Error reporter service, email/webhook integration, failed action capture.",MVP,Confirmed,Error handling category,Integration Contracts,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,User can report problems; admin receives useful context.,Low-medium,Decision Register,Can later move to proper monitoring.
VR-008,"Audit, Logs & Error Reporting",Error Report Destination,MVP error report destination,"For MVP, error reports can be sent by email using a free/simple",Email/reporting integration; backend endpoint or server action for,MVP,Confirmed,ERROR-001; ERROR-004,Integration Contracts,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Admins receive reports in a familiar channel.,Low,Decision Register,The routing system should be designed so the destination can change later.
VR-007,"Audit, Logs & Error Reporting",Error Reporting System,Lightweight alert/reporting system,Create a lightweight error reporting system for blocking failures and user-reported issues.,Error boundary; reporting service; email integration; error UI;,MVP + Seed Now,Confirmed,LOAD-001; ERROR-002; ERROR-003,"Routing, Auth & Load Control",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,"When something breaks, user can report it instead",Low-medium,Decision Register,This category may later move into a broader Observability/Error Management category.
CR-003,"Audit, Logs & Error Reporting",Lifecycle Event Logging,Logged lifecycle events,"Log version created, moved to In Progress, Ready for Approval, Approved, Superseded,","Lifecycle mutation handlers, import/duplicate service.",MVP,Confirmed,"Version lifecycle, import",Lifecycle & Version Status Rules,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Team can understand key version progression.,Low-medium,Decision Register,“Other versions superseded” should be logged when approval happens.
VL-029,"Audit, Logs & Error Reporting",Lifecycle Logging,Status change logging,Major lifecycle transitions should create activity logs.,"Activity log service, status transition endpoint.",MVP,Confirmed,Change Logs & Audit category,Lifecycle & Version Status Rules,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,"PM/admin can see when work started, became Ready,",Low-medium,Decision Register,Log only meaningful events to avoid database noise.
CR-004,"Audit, Logs & Error Reporting",Log Visibility,Log visibility in MVP,"Latest logs are shown from DB but manually synced/loaded, not real-time.","Project Metadata Island / Version History area, manual",MVP,Confirmed,Supabase activity logs,Builder UI Surfaces,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,User can inspect latest lifecycle history when needed.,Low-medium,Decision Register,No live subscription required for MVP.
CR-005,"Audit, Logs & Error Reporting",Meaningful Change Logs,Meaningful change logs,Seed architecture for meaningful structure-change logs later.,"Event/log adapter, mutation command names, optional future change_logs.",Seed Now / Future,Confirmed,Named mutation commands,Builder State & Mutation Layer,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Future admin/history tools become easier.,Medium,Decision Register,Not MVP implementation scope.
CR-002,"Audit, Logs & Error Reporting",MVP Log Scope,MVP log scope,MVP activity logs cover lifecycle events only.,"Version lifecycle service, status transition commands.",MVP,Confirmed,Version lifecycle,Lifecycle & Version Status Rules,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,"Clean version history, not a noisy event stream.",Low,Decision Register,Seed later for meaningful structure changes.
CR-010,"Audit, Logs & Error Reporting",Noisy Write Control,Avoid noisy writes,Do not write logs for every UI interaction or autosave.,"Event filtering, lifecycle-only DB writes.",MVP,Confirmed,Supabase cost control,"Persistence, Autosave & Recovery",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Cleaner app and lower backend usage.,Low,Decision Register,Important MVP constraint.
CR-009,"Audit, Logs & Error Reporting",Telemetry vs Audit Separation,Separation from audit logs,UX behavior tracking is separate from business activity logs.,"Lightweight event layer, future analytics adapter.",Seed Now,Confirmed,UI behavior tracking,"Preferences, Session & Telemetry",src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,Future UX analysis without polluting version history.,Low-medium,Decision Register,"Examples: view_switched, task_editor_opened, ready_validation_failed."
CR-008,"Audit, Logs & Error Reporting",User-Triggered Reporting,User-triggered reporting,User should have a report/retry path when critical save/load/import fails.,"Error UI, retry action, report action.",MVP,Confirmed,Save & Continuity,Builder UI Surfaces,src/services/logs.service.ts; src/services/error-reporter.service.ts; error boundary; report modal; activity/history UI,User feels protected when something breaks.,Low-medium,Decision Register,Especially important because previous vibe-coded flows were painful.
DM-020,Builder State & Mutation Layer,Builder Render Model,Builder nodes,"BuilderNode[] / PhaseNode is a render model for the builder stage, not","builder-node.types.ts, useBuilderNodes.ts, node.helpers.ts.",MVP + Seed Now,Confirmed,Mapper layer,Domain Model & API Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,Allows visual/stage changes without backend changes.,Medium,Decision Register,Matches previous backend readiness work.
BC-030,Builder State & Mutation Layer,Central Action API,Creation operations should map to named commands,Creation actions should eventually route through named commands like create phase/action/task rather,"Future builderMutations.ts, useBuilderNodes, builderStore.",Seed Now,Confirmed,Backend readiness plan,Integration Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,"No immediate UX impact, but improves backend readiness.",Medium,Decision Register,Important for post-MVP granular patches.
BC-004,Builder State & Mutation Layer,Creation Commands,Phase creation,User can create phases directly in Kanban.,"Phase card, add phase action, useBuilderNodes, cmdCreatePhaselater.",MVP,Confirmed,Version lifecycle In Progress trigger,Lifecycle & Version Status Rules,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can quickly start structuring the DCX.,Low,Decision Register,First phase triggers version status to In Progress.
BC-005,Builder State & Mutation Layer,Creation Commands,Action creation,User can create actions inside a phase in Kanban.,"KanbanColumn, action container/card, cmdCreateAction.",MVP,Confirmed,Phase parent rule,Builder UI Surfaces,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User builds structure directly inside the right phase.,Low-medium,Decision Register,Empty actions allowed while planning but blocked from Ready.
BC-006,Builder State & Mutation Layer,Creation Commands,Task creation,User can create tasks inside an action in Kanban.,"Task card, action container, TaskEditor, cmdCreateTask, task factory.",MVP,Confirmed,Task parent rule,Builder UI Surfaces,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User adds executable work under the correct action.,Medium,Decision Register,Full task configuration can happen later in Editor Island.
RV-018,Builder State & Mutation Layer,Import Field Selection,Task field import selection,"If importing tasks, user can choose which task fields to bring.","Task import mapper, field-selection UI, task schema.",MVP / Seed Now,Confirmed,Task data model,Domain Model & API Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can avoid carrying outdated details into a,Medium,Decision Register,Useful for templates later.
BC-016,Builder State & Mutation Layer,Import Reconciliation,Import mode,Import should support selective reconciliation rather than blind full replacement.,"Import reconciliation engine, preview UI, mapper layer, validation",MVP,Confirmed,"Stable IDs, import payload","Persistence, Autosave & Recovery",src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User understands what will change before applying import.,Medium-high,Decision Register,Especially important for offline updates.
